rebalance_date,next_rebalance_date,portfolio_return_gross,transaction_cost,slippage_cost,portfolio_return_net,qqq_return,tqqq_return,excess_return,portfolio_value,qqq_value,tqqq_value,turnover
2020-04-01,2020-05-01,0.28491067363086314,0.0,0.0,0.28491067363086314,0.16691361337150323,0.5219265314404147,0.11799706025935991,429675.597223007,189864.3235141084,318578.6278699903,0.6666666666666666
2020-05-01,2020-06-01,0.20823451578609764,0.0,0.0,0.20823451578609764,0.1002161838036899,0.31931954530704854,0.10801833198240773,519148.8871558422,208891.80145716155,420307.01046597905,0.6666666666666666
2020-06-01,2020-07-01,0.20059681844508068,0.0,0.0,0.20059681844508068,0.07205682874054076,0.20706529484805358,0.12853998970453992,623288.5022186083,223943.88222006327,507338.00551482086,0.6666666666666666
2020-07-01,2020-08-03,0.15400925358282036,0.0,0.0,0.15400925358282036,0.07541212717014778,0.2243426537952833,0.07859712641267258,719280.6992120502,240831.9667450193,621155.5600432218,0.6666666666666666
2020-08-03,2020-09-01,0.25095187730172763,0.0,0.0,0.25095187730172763,0.11337141799901529,0.37075004252578037,0.13758045930271234,899785.5409862135,268135.4283143938,851449.0103443713,1.3333333333333333
2020-09-01,2020-10-01,-0.11214994240925724,0.0,0.0,-0.11214994240925724,-0.058915589002333624,-0.1927063808696734,-0.05323435340692362,798874.6443839272,252338.07162285832,687369.3530658424,0.0
2020-10-01,2020-11-02,-0.12840609382311624,0.0,0.0,-0.12840609382311624,-0.043472075195714166,-0.14259658389876062,-0.08493401862740207,696294.2718442561,241368.4119985279,589352.8314419523,1.3333333333333333
2020-11-02,2020-12-01,0.2648817360350503,0.0,0.0,0.2648817360350503,0.1240091008436146,0.39782091505196515,0.14087263519143567,880729.9073616238,271300.2917425164,823809.7141346562,0.6666666666666666
2020-12-01,2021-01-04,0.2606210116498422,0.0,0.0,0.2606210116498422,0.02112517790816182,0.05857648275345473,0.23949583374168038,1110266.626808482,277031.5586721133,872065.5896467936,1.3333333333333333
2021-01-04,2021-02-01,0.2287159850767226,0.0,0.0,0.2287159850767226,0.04238468735592371,0.11728522123931229,0.1863312977207989,1364202.3520567939,288773.45467415504,974345.9952637091,0.0
